t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,103.90,0.02,0.16,0.00
0.25,103.82,0.02,0.16,0.16
0.50,103.48,0.16,0.16,0.27
0.75,103.47,0.16,0.16,0.27
1.00,100.61,94.67,0.16,0.27
1.25,94.76,94.67,0.16,0.27
1.50,89.06,94.67,0.16,0.27
1.76,83.64,94.67,0.16,0.27
2.01,77.99,94.67,0.16,0.27
2.26,72.56,94.67,0.16,0.27
2.51,67.07,94.67,0.16,0.27
2.76,61.63,94.67,0.16,0.27
3.01,56.19,94.67,0.16,0.27
3.26,50.74,94.67,0.16,0.27
3.51,45.34,94.67,0.16,0.27
3.76,39.91,94.67,0.16,0.27
4.01,34.47,94.67,0.16,0.27
4.26,28.87,94.67,0.16,0.27
4.51,23.59,94.67,0.16,0.27
4.76,17.67,94.67,0.16,0.27
5.01,12.70,94.67,0.16,0.27
5.26,9.36,94.67,0.18,0.31
5.52,9.02,94.67,0.18,0.65
5.77,9.02,94.67,0.18,0.65
6.02,9.01,94.67,0.18,0.65
6.27,9.01,94.67,0.18,0.65
6.52,9.01,94.67,0.18,0.65
6.77,9.01,94.67,0.18,0.65
7.02,8.99,94.67,0.18,0.65
7.27,8.99,94.67,0.18,0.65
7.52,8.98,94.67,0.18,0.65
7.77,8.98,94.67,0.18,0.65
8.02,8.97,94.67,0.18,0.65
8.27,8.97,94.67,0.18,0.65
8.52,9.06,94.67,0.18,0.65
8.77,9.07,94.67,0.18,0.65
9.02,9.04,94.67,0.18,0.66
9.27,9.01,94.67,0.18,0.66
9.53,9.03,94.67,0.18,0.66
9.78,9.04,94.67,0.18,0.66
10.03,9.07,94.67,0.18,0.66
10.28,9.00,94.67,0.18,0.66
10.53,9.00,94.67,0.18,0.66
10.78,9.00,94.67,0.18,0.66
11.03,8.95,94.67,0.18,0.67
11.28,8.99,94.67,0.18,0.67
11.53,8.97,94.67,0.18,0.67
11.78,8.98,94.67,0.18,0.67
12.03,8.96,94.67,0.18,0.67
12.28,8.99,94.67,0.18,0.67
12.53,8.97,94.67,0.18,0.67
12.78,8.97,94.67,0.18,0.67
13.03,8.93,94.67,0.18,0.67
13.28,8.95,94.67,0.18,0.67
13.53,8.96,94.67,0.18,0.67
13.79,8.99,94.67,0.18,0.67
14.04,8.99,94.67,0.18,0.67
14.29,8.94,94.67,0.18,0.67
14.54,8.95,94.67,0.18,0.67
14.79,9.00,94.67,0.18,0.68
15.04,8.95,94.67,0.18,0.68
15.29,8.96,94.67,0.18,0.68
15.54,8.97,94.67,0.18,0.68
15.79,8.96,94.67,0.18,0.68
16.04,8.94,94.67,0.18,0.68
16.29,8.93,94.67,0.18,0.68
16.54,8.93,94.67,0.18,0.68
